word vector file:		GiTuCo.filt.uniq.stemB.format_S_Rcuspod.samp44p_w5_v200_mc10_i5_cbow.w2v.vec
corpus file:			GiTuCo.filt.uniq.stemB.sample
input file:				_arg_verb_list_50x100
minimum sample size:	30
minimum context size:	15
window size:			20
filters:				cuspod
is keyword included?	true
PCA variance threshold:	0.45
number of threads:		8

arg	verb	sample size	argComp	verbComp	phraseAvgComp	phrasePCAcomp
oyum:0	ak:v	null	null	null	null	null
pekmez:6	ak:v	null	null	null	null	null
para:0	ak:v	null	null	null	null	null
makyaj:6	ak:v	null	null	null	null	null
olay:0	ak:v	null	null	null	null	null
hikaye:6	ak:v	null	null	null	null	null
hayat:6	ak:v	null	null	null	null	null
boşE:v	ak:v	null	null	null	null	null
mecra:2	ak:v	null	null	null	null	null
türbülanslı:0	ak:v	null	null	null	null	null
al$ın:0	ak:v	null	null	null	null	null
asalet:0	ak:v	null	null	null	null	null
musluK:3	ak:v	null	null	null	null	null
samimiyetsizliK:0	ak:v	null	null	null	null	null
pekmez:0	ak:v	null	null	null	null	null
zaman:0	ak:v	null	null	null	null	null
makyaj:0	ak:v	null	null	null	null	null
jeneriK:0	ak:v	null	null	null	null	null
damar:5	ak:v	null	null	null	null	null
ön:3	ak:v	null	null	null	null	null
lağım:0	ak:v	null	null	null	null	null
cerahât:0	ak:v	null	null	null	null	null
sıvın:v	ak:v	null	null	null	null	null
sıvı:0	ak:v	null	null	null	null	null
boya:0	ak:v	null	null	null	null	null
kulaK:3	ak:v	null	null	null	null	null
ak:v	ak:v	null	null	null	null	null
veri:0	ak:v	null	null	null	null	null
çeşme:3	ak:v	null	null	null	null	null
ebediyet:2	ak:v	null	null	null	null	null
mecra:5	ak:v	null	null	null	null	null
göz:3	ak:v	null	null	null	null	null
saadetçi:0	ak:v	null	null	null	null	null
elektron:0	ak:v	null	null	null	null	null
dere:0	ak:v	null	null	null	null	null
normâl:0	ak:v	null	null	null	null	null
deniz:2	ak:v	null	null	null	null	null
pisliK:0	ak:v	null	null	null	null	null
sol:3	ak:v	null	null	null	null	null
dam:0	ak:v	null	null	null	null	null
iktidar:5	ak:v	null	null	null	null	null
dere:6	ak:v	null	null	null	null	null
sel:0	ak:v	null	null	null	null	null
